Claimant Gender,Claimant Age,Claim Amount
Male,36,500.0
Other,19,5607.35
Female,39,13368.34
Female,29,500.0
Male,32,3722.99
Male,30,6961.53
Male,52,6879.0
Female,39,500.0
Female,36,1844.82
Female,41,13552.22
Male,34,8027.64
Other,27,500.0
Female,38,17813.51
Male,24,667.87
Male,45,9355.76
Male,45,14508.55
Male,25,5524.18
Female,26,2782.85
Male,34,16862.53
Male,58,15044.57
Female,39,8145.66
Male,46,10432.55
Male,18,3318.78
Male,29,16849.43
Female,43,6631.45
Female,56,3337.9
Male,56,13824.62
Female,45,5944.93
Female,59,12089.38
Male,64,7384.41
Female,39,8305.0
Male,49,5311.34
Male,24,500.0
Other,59,2901.93
Other,51,9216.0
Female,49,3437.5
Male,40,8461.13
Male,53,12326.17
Female,52,14252.25
Male,29,839.42
Male,42,2860.6
Female,45,10581.22
Male,36,500.0
Other,55,12454.55
Male,63,4108.83
Female,55,13116.61
Male,29,8733.77
Female,41,8314.46
Female,34,11170.28
Male,35,2488.56
Other,35,5958.2
Female,53,10371.04
Other,29,500.0
Female,31,2485.54
Female,42,11016.98
Other,63,9317.72
Male,58,7933.55
Male,46,10782.26
Male,30,8152.65
Male,45,8229.87
Male,52,17093.87
Male,56,17964.06
Female,57,10418.59
Male,58,20918.12
Male,51,6827.95
Female,46,18287.59
Male,48,500.0
Female,58,500.0
Male,48,7045.49
Other,31,3806.18
Female,50,5116.83
Male,26,500.0
Male,40,8144.66
Female,27,10691.11
Female,54,16631.99
Female,46,7191.68
Female,51,8607.69
Male,47,15612.32
Male,36,11780.51
Male,47,6337.18
Female,42,9834.05
Female,43,5274.14
Male,45,7976.03
Male,39,11197.59
Male,37,6541.37
Male,34,5269.05
Female,45,500.0
Female,34,1182.3
Female,46,10792.47
Female,48,8158.24
Male,65,13241.12
Female,49,8009.1
Female,22,1157.6
Female,46,10848.08
Female,54,8179.87
Female,35,500.0
Female,51,11670.42
Male,46,5899.06
Male,56,3310.7
Male,47,13705.58
Male,41,9786.24
Female,42,5222.42
Male,42,3385.31
Female,40,12344.81
Other,27,500.0
Male,45,10996.44
Male,53,14034.72
Female,50,9678.88
Male,40,500.0
Male,37,13413.68
Male,32,8911.67
Male,28,4284.84
Other,48,7104.85
Female,43,4162.49
Female,36,7053.36
Female,46,6009.64
Female,48,6291.77
Male,62,12666.79
Female,22,11974.92
Female,29,500.0
Female,74,10933.77
Female,39,22684.66
Male,43,2104.52
Male,45,6163.55
Male,31,13306.17
Male,32,7503.55
Female,31,12927.33
Female,20,11282.8
Male,52,7751.74
Female,60,4191.53
Male,32,7164.61
Male,58,5637.09
Male,46,13629.95
Male,59,7689.91
Other,45,7694.93
Male,52,6926.32
Female,46,11868.47
Female,33,7680.48
Male,44,8227.47
Other,46,15479.25
Other,58,20261.5
Male,46,16193.85
Female,28,5974.86
Male,36,7250.95
Male,51,10773.04
Male,35,2111.46
Female,39,16908.5
Female,42,11009.91
Male,20,4774.04
Male,44,8759.94
Other,57,5586.84
Male,18,4057.06
Male,38,17641.94
Female,24,500.0
Other,42,5837.25
Male,42,15311.79
Female,44,15127.21
Female,47,6694.59
Male,33,6348.17
Female,23,14227.62
Male,37,500.0
Female,30,4377.29
Female,40,8480.58
Female,38,7596.82
Male,32,8151.5
Female,42,8029.07
Male,53,11542.23
Male,54,10677.84
Male,39,22907.05
Female,50,13827.44
Female,18,4748.81
Male,32,6138.37
Female,18,5291.05
Male,25,2112.77
Female,45,20188.62
Male,34,500.0
Female,23,500.0
Male,45,12676.47
Other,34,9460.13
Male,55,12410.22
Male,18,5742.64
Male,49,2838.39
Other,71,13588.61
Female,70,8161.21
Male,49,3176.11
Female,54,14133.95
Female,37,5510.12
Female,34,13183.83
Female,38,10477.75
Male,30,2483.82
Male,18,5170.12
Female,37,8517.86
Other,35,2402.56
Female,27,13199.97
Male,31,500.0
Male,44,14407.1
Female,63,6590.99
Female,43,9478.51
Female,40,18761.02
Female,40,12574.87
Female,43,13123.88
Male,36,6692.73
Male,40,11576.65
Female,29,6861.03
Female,42,6953.42
Male,52,10030.84
Male,31,9268.36
Female,18,500.0
Male,40,9029.93
Male,34,10330.51
Female,40,2647.3
Female,31,5228.26
Female,42,15145.41
Male,30,9808.83
Female,64,8893.17
Male,34,500.0
Male,18,500.0
Female,43,11708.49
Female,33,5660.86
Female,38,500.0
Female,29,7563.05
Female,46,2213.46
Male,33,500.0
Male,52,6191.74
Male,58,2338.72
Male,37,13351.41
Other,18,500.0
Male,45,5888.38
Female,18,3654.85
Female,34,9370.69
Female,51,6369.13
Female,41,7198.93
Female,24,517.26
Female,31,3708.15
Male,33,9029.22
Female,31,8520.5
Male,45,9509.34
Male,41,10464.69
Female,24,3866.79
Male,18,500.0
Other,46,500.0
Other,39,4174.15
Other,35,5657.7
Male,31,12768.4
Male,39,5063.94
Other,38,12924.16
Male,29,500.0
Other,30,14004.29
Other,32,8501.79
Female,26,12839.16
Male,41,2418.21
Male,42,14399.37
Female,44,2779.26
Male,24,6738.42
Male,18,5315.76
Female,44,20057.99
Other,52,8082.09
Female,18,500.0
Female,50,12841.38
Male,40,5221.38
Female,64,19449.35
Other,44,4472.79
Male,18,3377.64
Female,55,8015.5
Female,32,4111.86
Female,44,15231.55
Female,41,13385.43
Female,45,1902.87
Male,58,7444.02
Male,41,12263.86
Female,58,14403.57
Female,34,9482.32
Female,43,13153.48
Other,57,13101.21
Female,43,6935.9
Female,56,9025.42
Female,33,10249.8
Female,37,14198.16
Female,53,13746.96
Female,54,4976.66
Female,51,8216.16
Male,50,10772.09
Male,43,16872.91
Male,26,10370.46
Female,33,500.0
Male,29,3196.56
Female,53,10937.39
Female,28,11959.48
Male,18,4893.35
Female,43,5162.7
Male,41,10361.84
Male,47,7547.08
Female,51,11082.82
Male,40,7181.88
Male,35,8559.18
Female,40,7790.74
Female,44,5150.03
Male,34,4405.07
Female,34,500.0
Male,53,14962.08
Male,44,13933.18
Female,32,2852.07
Female,34,4290.19
Female,42,500.0
Female,21,7648.91
Other,44,5848.57
Female,39,1632.5
Male,39,11993.86
Female,34,1038.88
Male,35,4311.59
Male,42,10900.57
Male,24,4785.1
Male,39,9906.64
Other,39,500.0
Female,43,4003.22
Female,30,2500.58
Male,43,2132.75
Male,44,4597.76
Male,48,3910.35
Male,41,8356.76
Female,35,500.0
Female,43,1982.61
Female,47,15548.46
Male,35,13543.1
Other,18,1132.9
Female,46,10059.18
Female,51,500.0
Female,32,6036.8
Male,51,8135.81
Male,45,9793.87
Male,21,901.72
Female,55,8346.87
Male,48,7123.56
Male,37,4204.71
Male,51,7428.77
Male,45,758.67
Female,31,12293.31
Female,48,3676.16
Female,30,6075.84
Male,39,15113.98
Female,43,8246.53
Female,55,2614.03
Male,46,500.0
Male,33,10905.59
Male,19,3936.86
Female,37,9015.21
Female,71,13425.09
Male,58,11271.95
Male,30,9068.88
Female,62,11739.79
Female,56,7842.17
Female,32,500.0
Female,72,5123.88
Male,36,11222.98
Male,53,7255.45
Female,19,500.0
Male,25,3298.3
Female,49,9622.97
Other,40,6252.12
Female,50,16092.71
Male,57,17152.74
Female,29,14053.82
Female,41,7575.68
Female,48,16566.03
Other,55,500.0
Male,25,12611.72
Other,22,2188.19
Other,42,4840.96
Male,58,5588.98
Male,42,5560.54
Male,28,12413.74
Male,32,3538.24
Male,36,4481.48
Female,18,648.19
Male,40,9348.34
Male,31,8029.29
Female,40,12610.33
Male,61,3203.73
Female,54,6927.64
Male,48,2395.94
Male,35,1945.73
Female,50,13402.97
Female,24,500.0
Female,29,8827.81
Female,36,4705.81
Female,52,11664.74
Male,31,7490.45
Male,42,10805.07
Female,25,14449.81
Female,49,12309.66
Other,47,6253.79
Male,56,15008.61
Male,39,5243.54
Female,51,18763.6
Male,21,6843.19
Other,28,5075.49
Female,34,17048.68
Male,28,2279.62
Female,40,5547.18
Female,56,10606.74
Male,38,8016.28
Other,35,500.0
Female,57,5200.7
Female,24,5304.23
Male,37,5060.28
Female,31,5784.72
Male,41,500.0
Male,34,12584.56
Other,22,8725.85
Male,37,21982.31
Male,35,500.0
Other,36,9112.23
Other,23,5916.89
Female,43,16333.72
Female,46,6226.04
Male,40,12954.6
Male,35,8278.15
Male,30,3752.36
Female,34,2774.15
Female,56,6182.73
Female,34,6734.73
Female,41,6244.84
Male,41,4022.35
Female,29,500.0
